cv_filename,job_description,algorithm_used,matched_keywords,missing_keywords,relevance_score,execution_time,comparison_count,total_keywords,timestamp
21i0320.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.002996683120727539,6686,4,2025-10-24 01:49:05
21i0320.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0010018348693847656,6718,4,2025-10-24 01:49:05
21i0340 (2).docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0009734630584716797,9038,4,2025-10-24 01:49:05
21i0340 (2).pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.000997781753540039,9038,4,2025-10-24 01:49:06
21i0340.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.002002239227294922,9038,4,2025-10-24 01:49:06
21i0340.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0019979476928710938,9038,4,2025-10-24 01:49:06
21i1696.docx,Backend Developer,KMP,Python,Django; REST; SQL,0.26,0.0009412765502929688,4847,4,2025-10-24 01:49:06
21i1696.pdf,Backend Developer,KMP,Python,Django; REST; SQL,0.26,0.0,5093,4,2025-10-24 01:49:06
21i1701.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0015821456909179688,7606,4,2025-10-24 01:49:06
21i1701.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0,7606,4,2025-10-24 01:49:06
21i1729(1).docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0009486675262451172,6654,4,2025-10-24 01:49:06
21i1729.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0,5909,4,2025-10-24 01:49:06
21i1729.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0,6955,4,2025-10-24 01:49:06
21i1937.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0,7467,4,2025-10-24 01:49:06
21i1937.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0010647773742675781,7467,4,2025-10-24 01:49:06
21i2340.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.00099945068359375,9038,4,2025-10-24 01:49:06
21i2721(1).pdf,Backend Developer,KMP,Python; REST,Django; SQL,0.52,0.0,8864,4,2025-10-24 01:49:06
21i2721.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0010035037994384766,6012,4,2025-10-24 01:49:06
21i2721.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0010039806365966797,6036,4,2025-10-24 01:49:06
21i2721.pdf.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0010018348693847656,6036,4,2025-10-24 01:49:06
22I-0450.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0010166168212890625,5375,4,2025-10-24 01:49:07
22I-0450.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0,5375,4,2025-10-24 01:49:07
22I-1929.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.001001596450805664,6876,4,2025-10-24 01:49:07
22I-1929.pdf,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0010018348693847656,6876,4,2025-10-24 01:49:07
22I0607(1).docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0009799003601074219,9552,4,2025-10-24 01:49:07
22I1387.docx,Backend Developer,KMP,Python; SQL,Django; REST,0.52,0.0010061264038085938,10853,4,2025-10-24 01:49:07
